key current-time xcor ycor available-power actual-power
 64 3.7907138819171537 -0.30834534705520084 -17.04294044091595 0 0 
 5 3.7907138819171537 -6.220364628048433 -12.184131870496504 0 0 
 74 3.7907138819171537 -14.915859648333088 14.380482608647066 0 0 
 33 3.7907138819171537 -11.574852106315978 7.550462329010356 -2 0 
 49 3.7907138819171537 -1.5572468109976318 -1.1233757759091216 0 0 
 76 3.7907138819171537 3.562773517058387 4.919344548611216 0 0 
 68 3.7907138819171537 -4.187036019648434 15.487310076159217 0 0 
 59 3.7907138819171537 2.7434302064194096 4.367502652179284 -2 0 
 90 3.7907138819171537 -5.378046639912831 17.281381248557455 0 0 
 61 3.7907138819171537 19.12810504727557 14.762222990786954 0 0 
 88 3.826102966881926 -3.3697728116271106 9.412208119527643 0 0 
 5 3.826102966881926 -6.220364628048433 -12.184131870496504 0 0 
 51 3.826102966881926 -13.260207813371707 -19.38428681028395 0 0 
 3 3.826102966881926 3.7052298116320124 6.986642819718821 0 0 
 35 3.826102966881926 -11.079637738684582 -14.579829593156607 1 0 
 49 3.826102966881926 -1.5572468109976318 -1.1233757759091216 0 0 
 6 3.826102966881926 -7.581748693078589 10.602840468080718 0 0 
 54 3.826102966881926 19.22310070314737 18.157318862387932 0 0 
 15 3.826102966881926 -7.519190256525442 -1.3540062339448606 2 0 
 43 3.826102966881926 -6.162816136405525 -4.552003484270968 0 0 
 18 3.826102966881926 -10.803293482099027 12.945685077826955 -2 0 
 24 3.826102966881926 -9.750904590490986 2.771686849242403 0 0 
 67 3.826102966881926 -12.419729093872041 14.986582861222868 0 0 
 25 3.826102966881926 16.733804236395557 9.11056992205882 0 0 
 26 3.826102966881926 -19.25748528536692 19.083419643415006 0 0 
 48 3.826102966881926 9.444919765806272 17.6304073543596 0 0 
 83 3.826102966881926 11.694341143619459 15.360031663505866 0 0 
 55 3.826102966881926 -0.38815486436655566 -4.035135288348141 0 0 
 19 3.826102966881926 2.0208685128574007 -1.117365939949743 2 0 
 77 3.826102966881926 2.539954100051991 1.7949913120392895 0 0 
 8 3.826102966881926 -5.11746919706504 9.639346701191863 0 0 
 56 3.826102966881926 -5.820920287329406 -7.310567605107249 0 0 
